population,cell
206607,4949
203266,4950
198690,4951
197239,4808
193272,5093
192275,4809
179963,5094
177846,4810
169152,5092
150277,4948
139452,4665
132036,4807
125794,5091
117418,4666
79353,4667
71110,4952
70961,5238
65736,5239
57734,8909
57432,8908
56753,5095
53601,4947
44761,9049
43323,5237
42356,4811
42086,5090
40627,8766
36919,9050
35906,4664
33487,5262
32347,4806
31747,8767
29396,8910
28492,8907
25584,1689
25019,9048
24899,5240
23201,4519
21151,5409
20997,5220
20452,2863
19411,1690
19315,9933
18793,9051
18377,5236
17321,2864
17118,5872
16373,4668
16191,9047
15761,5367
15603,9934
15563,5366
14977,5219
14783,4236
14537,5557
14397,9052
14177,1782
14174,2429
14156,9187
14094,4624
14011,3185
13768,6830
13430,6826
12912,6834
12627,5556
11979,2493
11837,9046
11776,968
11431,9316
11351,8626
11288,9186
11271,5385
11251,7001
11061,8911
11053,1783
11012,4520
10946,2294
10744,8628
10524,5558
10406,8768
10185,6993
10178,5261
10099,5408
9923,5221
9721,8765
9572,4521
9501,8763
9491,8912
9379,8487
9253,5072
9153,10377
8970,10366
8892,3969
8883,2605
8736,8764
8701,8473
8587,5234
8541,6672
8446,1599
8419,9878
8291,8906
8260,3940
8084,5476
8054,9426
7928,3762
7922,8905
7911,5258
7809,5257
7804,2538
7776,8914
7763,6543
7746,5384
7737,8769
7726,9053
7676,9932
7653,2193
7642,5989
7583,5988
7574,8625
7530,9877
7489,8762
7472,6831
7468,4478
7433,2321
7413,1981
7395,9045
7394,3654
7370,5705
7364,9044
7274,9140
7264,5117
7252,9182
7121,2749
7094,8488
7074,5871
7054,2604
6432,899
4622,5387
3793,2220
3540,3071
3208,5519
3116,7150
2866,6329
2712,6323
2620,2851
2512,7666
2480,9936
2319,2869
2281,5375
2201,4671
2159,4515
2092,9667
2024,6241
1974,2992
1920,4365
1881,3931
1833,1641
1777,9523
1759,4076
1724,1801
1665,3881
1655,7497
1630,6349
1588,1073
1560,9571
1529,3177
1511,1985
1488,5479
1455,1285
1430,10357
1401,3918
1390,1338
1353,10150
1329,2264
1319,853
1292,7266
1264,9715
1258,9712
1219,7673
1212,10356
1182,919
1176,1814
1161,2347
1134,8678
1111,9404
1105,2212
1081,10397
1072,9193
1050,9716
1035,5921
1022,5270
1012,2446
991,1631
966,3409
962,4178
943,1845
934,6098
915,10164
903,598
892,10611
875,1944
867,3390
847,10119
833,10350
822,1100
806,3749
804,4131
781,1572
768,4780
761,837
746,8676
736,10450
726,1948
710,362
694,1408
687,1662
670,4448
659,5032
639,874
633,10023
615,4866
598,7546
591,4863
580,6688
560,3014
547,6282
534,7413
512,196
501,925
483,5468
469,4039
439,388
436,4725
404,4135
393,5011
377,10932
346,8745
320,7999
301,8885
275,4182
259,7362
219,6718
189,6721
167,6223
