population,cell
150277,4948
6820,9567
5359,6994
3982,3087
3875,7985
3399,2526
3137,4663
2925,2411
2817,6285
2638,7170
2517,8210
2499,9285
2424,7805
2290,10328
2207,10031
2176,9993
2094,6713
2024,7749
1986,9844
1951,9406
1904,10116
1832,6881
1819,10095
1775,6950
1716,7077
1698,10089
1668,7489
1633,9275
1589,9628
1549,541
1535,1456
1513,6048
1497,2662
1457,3464
1431,5826
1421,4516
1398,1154
1367,6250
1351,833
1335,7876
1288,6085
1284,6573
1253,10165
1243,604
1209,8791
1190,2732
1180,8214
1161,8638
1148,7875
1131,587
1101,632
1086,2457
1078,2300
1062,9726
1039,10835
1031,5876
1005,6925
1001,6768
976,2483
959,5472
952,8535
935,3656
915,4987
902,9842
901,5350
884,3169
866,8901
854,869
837,4142
826,7063
815,744
800,2059
794,2549
776,1095
764,4762
746,8676
734,805
728,6345
714,2232
701,8944
691,10184
679,6687
659,1318
645,7761
633,7932
617,7088
610,2827
594,1653
581,8966
560,660
556,628
539,4330
529,7678
511,4432
490,2025
474,1067
464,2359
428,6959
424,1052
389,2143
386,7603
350,4293
339,8307
318,131
293,132
260,511
227,5166
211,33
167,1588
109,10864
