Source,Destination
14,1
14,1
14,1
14,1
14,1
14,1
14,1
14,1
21,1
16,1
14,23
14,23
14,23
14,23
14,23
14,23
14,23
14,23
21,23
16,23
14,21
14,21
14,21
14,21
14,21
14,21
14,21
14,21
14,21
14,21
14,21
14,21
14,21
14,21
14,21
14,21
14,21
4,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
21,21
22,21
16,21
16,21
14,34
14,34
14,34
14,34
14,34
14,34
14,34
21,34
21,34
21,34
21,34
16,34
16,34
16,34
16,34
14,4
14,4
14,4
14,4
14,4
14,4
14,4
14,4
14,4
14,4
14,4
14,4
14,4
14,4
14,4
14,4
14,4
14,4
14,4
14,4
14,4
14,4
14,4
14,4
14,4
14,4
14,4
14,4
14,4
14,4
14,4
14,4
14,4
21,4
21,4
21,4
21,4
21,4
21,4
16,4
16,4
16,4
16,4
16,4
16,4
16,4
16,4
16,4
16,4
16,4
16,4
16,4
16,4
16,4
16,4
16,4
16,4
16,4
16,4
16,4
16,4
16,4
16,4
16,4
16,4
16,4
16,4
16,4
16,4
16,4
16,4
16,4
16,4
16,4
16,4
16,4
16,4
16,4
16,4
16,4
16,4
16,4
16,4
16,4
16,4
16,4
16,4
16,4
16,4
14,28
14,28
14,28
14,28
14,28
14,28
14,28
14,28
14,28
14,28
14,28
16,28
16,28
16,28
14,15
14,15
14,15
14,15
14,15
14,15
14,15
14,15
14,15
14,15
14,15
14,15
14,15
14,15
14,15
14,15
14,15
14,15
21,15
16,15
16,15
16,15
16,15
14,10
21,10
16,10
14,10
14,10
14,10
14,10
14,10
14,10
14,10
14,10
14,10
14,10
14,10
14,10
14,10
14,10
16,10
16,10
16,10
14,8
14,8
14,8
14,8
14,8
14,8
14,8
14,8
14,8
14,8
14,8
14,8
14,8
14,8
14,8
14,8
14,8
14,8
14,8
14,8
14,8
14,8
14,8
14,8
14,8
14,8
14,8
14,8
14,8
4,8
21,8
21,8
21,8
21,8
16,8
16,8
16,8
16,8
16,8
16,8
16,8
16,8
16,8
16,8
16,8
16,8
16,8
16,8
16,8
27,14
14,14
14,14
14,14
14,14
14,14
14,14
14,14
14,14
14,14
14,14
14,14
14,14
14,14
14,14
14,14
14,14
14,14
14,14
14,14
14,14
14,14
14,14
14,14
14,14
14,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
21,14
22,14
22,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
16,14
