Value,Count,ADM2_NAME,Sort
1,172,Bale,1
2,275,Mouhoun,24
3,146,Nayala,27
4,173,Boulkiemde,7
5,208,Sanguie,33
6,213,Ziro,43
7,110,Bougouriba,5
8,462,Houet,12
9,227,Tuy,40
10,339,Gnagna,10
11,447,Gourma,11
12,210,Komonjdjari,16
13,112,Kouritenga,20
14,115,Kadiogo,14
15,167,Ganzourgou,9
16,62,Kourweogo,21
17,114,Oubritenga,29
18,146,Loroum,23
19,163,Passore,31
20,77,Zondoma,44
21,158,Bazega,4
22,146,Zoundweogo,45
23,160,Bam,2
24,260,Namentenga,26
25,368,Sanmatenga,34
26,336,Kenedougou,15
27,126,Leraba,22
28,624,Comoe,8
29,112,Noumbiel,28
30,296,Poni,32
31,132,Ioba,13
32,288,Sissili,36
33,156,Nahouri,25
34,260,Boulgou,6
35,217,Koulpelogo,19
36,277,Kompienga,17
37,596,Tapoa,39
38,263,Yagha,41
39,278,Seno,35
40,404,Oudalan,30
41,505,Soum,37
42,273,Yatenga,42
43,243,Sourou,38
44,299,Kossi,18
45,235,Banwa,3
